Text,Questions,Answers
"වින්ඩෝස් 8 වින්ඩෝස් දැන් Android සහ iOS ඇතුළු ජංගම දුරකථන මෙහෙයුම් පද්ධති සමඟ තරඟ කරමින් සිටි ටැබ්ලට්, එහි පරිශීලක අත්දැකීම පුළුල් කර ගැනීම සඳහා මෙහෙයුම් පද්ධතියේ වේදිකාවක් සහ පරිශීලක අතුරු මුහුණත ප්රධාන වෙනස්කම් හඳුන්වා දෙන ලදී. විශේෂයෙන් ම, මෙම වෙනස්කම් මයික්රොසොෆ්ට් සමාගමේ ""මෙට්රෝ"" නිර්මාණ භාෂාව, (එය ප්රදර්ශනය වැඩසටහන් හා උළු ක විදුලිබල පද්ධතියට මත ගතිකව යාවත්කාලීන අන්තර්ගතය) ආරම්භක තිරයෙහි, ටච්-ස්ක්රීන් ජංගම දුරකථන ගැන අවධාරණයක් සහිතව යෙදුම් සංවර්ධනය සඳහා නව වේදිකාවක් මත පදනම් වූ ස්පර්ශ ප්රචලිත කෙරෙන වින්ඩෝස් ෂෙල් ඇතුළත් ආදාන, (උපාංග අතර සමමුහුර්ත යෙදුම් සහ සැකසුම් කිරීමේ හැකියාව ඇතුළුව) සමඟ අමුත්තන් සේවා සමඟ ඒකාබද්ධ, සහ Windows Store, නව මෘදුකාංග බාගත සහ මිලදී ගැනීම සඳහා අන්තර්ජාල සාප්පුව. වින්ඩෝස් 8 USB 3.0, උසස් ආකෘතිය දෘඪ තැටි, අසල ක්ෂේත්රයේ සන්නිවේදන හා පරිගණක වලාව සඳහා සහයෝගය වැඩිදුරටත් සඳහන් කළේය. අතිරේක ආරක්ෂක සලකුණු, බිල්ට් ලෙස ප්රති-වයිරස මෘදුකාංග, මයික්රොසොෆ්ට් SmartScreen සමග ඒකාබද්ධ අනෙක් අත්පොත් සොයාගන්නේ කෙසේද සඳහා ෙපරහන් සේවය සහ සහාය තතුබාන ඇරඹුම් අනෙක් අත්පොත් සොයාගන්නේ කෙසේද ෆර්ම් සහාය උපාංග මත, ඇරඹුම් ක්රියාවලිය ආසාදනය අනිෂ්ට මෘදුකාංග වැළැක්වීම සඳහා ආරක්ෂා කර එවැනි හඳුන්වා දෙන ලදී.","[ 'කවුද වින්ඩෝස් ප්රධාන මෙහෙයුම් පද්ධතිය තරඟකරුවන්?' 'වින්ඩෝස් 8 මොන නව ආරක්ෂක ලක්ෂණ වන්නේ කෙසේද?' ',' 'වින්ඩෝස් 8 සමග අනුකූල වේ කුමක්ද USB අනුවාදය?', 'කුමක්ද අරඹන්න තිරය මත ගත කළ හැක්කේ කෙසේද?', 'කුමක්ද ගබඩාවට ලබා සේවාවන් කරන්නේ? ',' වින්ඩෝස් අඩු මෙහෙයුම් පද්ධතිය තරඟකරුවන් කවුද? ',' වින්ඩෝස් 9 කුමක්ද නව ආරක්ෂක අංග වන්නේ කෙසේද? ',' අවසානය තිරය මත සොයා ගත හැකි පාඩම් මොනවාද? ',' වින්ඩෝස් යනු කුමක්ද USB අනුවාදය 9? ',' සේවා මොනවාද ගබඩාවට ලබා දෙන්නේ ඇයි? ""] අනුකූල","[[{ 'පෙළ' 'Android සහ iOS', 'answer_start': 205}], [{ 'පෙළ' 'බිල්ට් ප්රති-වයිරස මෘදුකාංග, මයික්රොසොෆ්ට් SmartScreen සමග ඒකාබද්ධ අනෙක් අත්පොත් සොයාගන්නේ කෙසේද සඳහා ෙපරහන් සේවය සහ සහාය තතුබාන ඇරඹුම් ආරක්ෂා කර', ' answer_start ': 855}], [{' පෙළ '' 3.0 ',' answer_start ': 719}], [{' පෙළ '' ප්රදර්ශනය වැඩසටහන් හා උළු ක විදුලිබල පද්ධතියට මත ගතිකව යාවත්කාලීන අන්තර්ගතයට ',' answer_start ': 362 }], [{ 'පෙළ': 'answer_start' 'නව මෘදුකාංගයක් බාගත කර මිලදී ගැනීම සඳහා අන්තර්ජාල සාප්පුව': 626}], [], [], [], [], []]"
"දකුණු උතුරු හා කිලෝ මීටර් 130 (81 සැත) නැගෙනහිර සිට බටහිර දෙසට කිලෝමීටර 200 කට වඩා (120 සැත) විසින් කිසිදු, ස්වාසිලන්තය අප්රිකාවේ කුඩාම රටවලින් එකකි. එහි විශාලත්වය තිබියදීත්, කෙසේ වෙතත්, එහි දේශගුණය සහ භූ ලක්ෂණ විවිධ, සිසිල් සහ කඳුකර highveld සිට උණුසුම් හා වියලි lowveld දක්වා ඇත. ජනගහනයෙන් කාගේ භාෂාව siSwati වේ මූලික වශයෙන් ජනවාර්ගික Swazis වේ. ඔවුන් Ngwane III නායකත්වය යටතේ මැද භාගයේ 18 වන සියවසේ දී, තමන්ගේ රාජ්යය ස්ථාපිත; වර්තමාන සීමාවන් 1881. හැදී ඇදී ඇති අතර Anglo-බෝර් යුද්ධයෙන් පසු, ස්වාසිලන්තය 1903 සිට 1967 1968 සැප්තැම්බර් 6 වන දින, එහි ස්වාධීනත්වය නැවත තෙක් බ්රිතාන්ය යටතේ විය.","[ 'සැතපුම් ස්වාසිලන්තය කෙසේද පුරාම ව්යාප්ත වේ ??', 'විශාලත්වය අනුව එහිදී රටේ විශාලත්වය අනුව අප්රිකාව තුළ ස්වාසිලන්තය නිලය කරන්නේ?', 'කුමක්ද ස්වාසිලන්තය ජනතාව කතා ප්රාථමික භාෂාව ද?', 'කළා, විට ජනවාර්ගික Swazis රාජ්යයක් ස්ථාපිත? ',' 18 වන ශත වර්ෂයේ Swazi රාජ්යය නායකයා කවුද? ',' දකුණු කිරීමට පියවර 200 සැත උතුරු කුමක්ද රටේ? ',' කුමක්ද ලෝකයේ smalloest රටවලින් එකකි? ',' ස්වාසිලන්තය නිල භාෂාව යනු කුමක්ද? '', ""1800 ගණන්වල රාජ්යයක් ස්ථාපිත කවුද"" ""1800 ගණන්වල දී Swazi රාජ්යය නායකයා කවුද?""]","[[{ 'පෙළ': '81 සැත ',' answer_start ': 75}], [{' පෙළ ':' කුඩාම ',' answer_start එක් ': 109}], [{' පෙළ '' siSwati ' 'answer_start': 347}], [{ 'පෙළ' 'මැද භාගයේ 18 වැනි සියවසේ', 'answer_start': 394}], [{ 'පෙළ' 'Ngwane III', 'answer_start': 435}], [ ], [], [], [], []]"
"ඉංග්රීසි වචනය (ම trans- හා fero සිට එන තේරුම ""හරහා ගෙන ඒමේ"" හෝ ""ලොව පුරා රැගෙන"" latum-එකට වන බෙලහීන ආකෘති පත්රය) ලතින් translatio සිට ""පරිවර්තනය"" පදනම්වන්නේ. නූතන සිංහල, ඉංගී්රසි භාෂා එම ලතින් මූලාශ්රයකින් හෝ විකල්ප ලතින් traducere (හෝ ""හරහා ගෙන ඒමට"" ""හරහා නායකත්වය"") වලින් වන බව ඉංග්රීසි පදය ""පරිවර්තනය"" පිළිබඳ සමාන භාවිතා කරන්න. ස්ලාවික් සහ ජර්මානු භාෂා (ලන්දේසි සමාන පිළිබඳ පැමිණිල්ලේ දී හැර, සලකන, ""නැවත භාෂාව ඉන්ග්"" ""vertaling"") එසේ ම මෙම ලතින් මූලාශ්ර calques භාවිතා කරන්න.","[ 'කුමක්ද ලතින් වචනය ඉංග්රීසි වචනය පරිවර්තනය කරන්නේ කොහෙන්ද?', 'එකම ලතින් ප්රභවය එන ඉංග්රීසි පදය ""පරිවර්තනය"" පිළිබඳ සමාන භාවිතා කුමක්ද භාෂා?', 'කුමක්ද ඉංග්රීසි ලතින් traducere අදහස් වන්නේ කුමක්ද? "",' ස්ලාව් ජාතික හා ජර්මානු භාෂා ද දේ ප්රභවය සිට ඒ හා සමාන loanword භාවිතා? ',' ලන්දේසි වචනය දල වශයෙන් පරිවර්තනය ""vertaling"" කුමක්ද? ',' ඉංග්රීසි වචනය පරිවර්තනය වචනය ආවේ ප්රංශ කුමක්ද කරන්නේ කුමක්ද? ',' පිළිබඳ සමාන භාවිතා කුමක්ද භාෂා එම ලතින් ප්රභවය එන ජර්මානු කාලීන ""පරිවර්තනය""? ',' කුමක්ද ඉංග්රීසි රුසියාවේ traducere අදහස් කරන්නේ? "", 'මොකක්ද දල වශයෙන් පරිවර්තනය ඇමරිකානු වචනය"" vertaling ""වන්නේ කෙසේද?', 'කුමක්ද භාෂාව සෑම විටම ලතින් ව්යුත්පන්න? ']","[[{ 'පෙළ' 'translatio', 'answer_start': 54}], [{ 'පෙළ' ', ඉංගී්රසි', 'answer_start': 219}], [{ 'පෙළ' '' හරහා නායකත්වය "" ' 'answer_start': 373}], [{ 'පෙළ' 'ලතින්', 'answer_start': 555}], [{ 'පෙළ' '' නැවත භාෂාව ing "" ',' answer_start ': 506}] , [], [], [], [], []]"
"මත්තල ගුවන් තොටුපොළ ගලවන්න හා ඉඩම් ගුවන් ගමන් සඳහා පහසුකම් සහිත ගගන යාත්රාංගණ වේ. ගුවන් තොටුපළ බොහෝ විට පාලක කුලුන ගුවන් යානා ගබඩා කිරීම හා පවත්වාගෙන යාම සඳහා පහසුකම්, සහ ඇත. මත්තල ගුවන් තොටුපොළ වැනි ලකුණු ගැනීමට ගුවන් යානයක් සඳහා ධාවන පථය හෝ අංගන ලෙස අවම වශයෙන් එක් සක්රීයව මතුපිට ඇතුලු aerially ප්රවේශ විවෘත අවකාශයක් සමන්විත ගොඩ බැසීම් ප්රදේශයේ, සමන්විත වේ, හා බොහෝ විට එවැනි පාලනය කුළුණු, හැඟරයේ සහ පර්යන්ත ලෙස යාබද උපයෝගීතා ගොඩනැගිලි ඇතුළත් . විශාල ගුවන් තොටුපලවල් පදනම ක්රියාකරු සේවා, ගුවන් තොටුපල ඒපන්, ගුවන් ගමන් පාලක මධ්යස්ථාන, එවැනි අවන්හල් සහ හල්, හා හදිසි සේවා ලෙස මගී පහසුකම් ස්ථාවර විය හැක.","[ 'ගලවන්න හා ඉඩම් ගුවන් ගමන් සඳහා පහසුකම් සහිත aerodome යනු කුමක්ද?', 'කුමක්ද එවැනි ධාවන පථය හෝ අංගන ලෙස අවම වශයෙන් එක්, පෘෂ්ඨය ඇතුළත් වී තිබෙන බව aerially ප්රවේශ විවෘත අවකාශයක් ද?', 'මත්තල ගුවන් තොටුපොළ යනු කුමක්ද?' , 'මොකක්ද පාලන කුළුණ අර්ථ දැක්වීම ද?', 'කුමක්ද විශාල පාලනය කුළුණු මොනවාද?', 'උපයෝගිතා ගොඩනැගිල්ල අවට ප්රදේශයේ උදාහරණයක් යනු කුමක්ද?', 'මත්තල ගුවන් තොටුපොළ ලෑස්ති ​​වී උදාහරණයක් යනු කුමක්ද?' ', 'අංගන අර්ථ දැක්වීම කුමක්ද?']","[[{ 'පෙළ' 'ගුවන් තොටුපොළ', 'answer_start': 3}], [{ 'පෙළ' 'ගොඩ ප්රදේශයේ', 'answer_start': 186}], [{ 'පෙළ' 'ගුවන් ගමන් සඳහා පහසුකම් සහිත අංගනය ලකුණු ලබා ගැනීමට හා ඉඩම් ',' answer_start ': 17}], [], [], [], [], []]"
"Kievan RUS 'ඔහුගේ පාලනය නොව්ගොරොද් දකුණු සිට Dnieper ගඟ නිම්නයේ දිගේ සඳහා ඇහුනෙ, වෙළඳ ඛසර් ආක්රමණ වලට සිට නැගෙනහිර දක්වා දීර්ඝ සහ වඩාත් ක්රමෝපායික කියෙව් ඔහුගේ අගනුවර පදිංචි වූ කුමරු ඔලෙග්, පාලනය (882-912) ආරම්භ වීමත් සමග. Sviatoslav මම (මිය 972) එම ඛසර් අධිරාජ්යය ට එරෙහිව යටත් යුද්ධයක් සටන්, Kievan RUS 'භෞමික පාලනය කිරීම පිළිබඳව පළමු ප්රධාන පුළුල් කිරීමට සමත් විය. මහා (980-1015) ව්ලැඩිමීර් තම බව්තීස්ම ක්රිස්තියානි හඳුන්වා දුන් අතර, ආඥාවෙන්, කීව් හා ඉන් ඔබ්බට සියලු වැසියන් බව. Kievan RUS 'Yaroslav මම (1019-1054) යටතේ එහි මටිටමට ළඟා; ඔහුගේ පුත්රයෝ ඔහුගේ මරණයෙන් ටික කලකට පසු, එහි පළමු ලිඛිත නීති කේත, RUS 'අධිකරණ රැස් හා නිකුත් කර ඇත.","[ 'Kievan RUS ක්රිස්තියානි ධර්මය හඳුන්වා කුමන පාලකයා?' 'මොන වසරේ Kievan RUS ප්රදේශයක් බවට පත් විය?', 'Kievan ක වලිනුත් දී පාලකයා කවුද?', 'Kievan පළමු ප්රධාන පුළුල් සාක්ෂාත් කවුද?', ' කුමක්ද Yaroslav පුතුන් කළේ Keivan RUS ඔහුගේ පාලන කාලය තුල සාක්ෂාත් කර? ',' ඔලෙග් කුමරු රජකමට කළ දේ අවුරුදු? ',' ඔලෙග් කුමරු ඔහුගේ පාලනය දීර්ඝ කළේ කුමන අවස්ථාවලදීද? ',' Kievan පළමු සුළු පුළුල් සාක්ෂාත් කවුද? ',' කුමන පාලකයා Kievan RUS ඉස්ලාමයට හඳුන්වා? ',' Yaroslav දියණියන් ඔහුගේ කාලය Keivan RUS තුළ සාක්ෂාත් කර මොනවාද? ']","[[{ 'පෙළ' '882', 'answer_start': 34}], [{ 'පෙළ' 'කුමරු ඔලෙග්', 'answer_start': 46}], [{ 'පෙළ' 'කියෙව්. Sviatoslav මම ',' answer_start ': 242}], [{' පෙළ '' මහා ව්ලැඩිමීර් ',' answer_start ': 397}], [{' පෙළ '' answer_start 'එහි පළමු ලිඛිත නීති සංග්රහය නිකුත්', ' : 629}], [], [], [], [], []]"
"සුපිරි නින්ටෙන්ඩෝ එන්ටර්ටේන්මන්ට් ([ඇ] සුපිරි NES [ආ] හෝ SNES නිල සංක්ෂිප්ත, සහ පොදුවේ සුපිරි නින්ටෙන්ඩෝ [D] කෙටි) නින්ටෙන්ඩෝ සමාගම විසින් නිර්මාණය කරන ලද 16-බිටු ගෙදර වීඩියෝ ක්රීඩා කොන්සෝලය ජපානයේ 1990 දී නිකුත් කරන ලදී බව වන අතර, දකුණු කොරියාව, 1991 උතුරු ඇමරිකාව, 1992 යුරෝපයේ සහ ඕස්ට්රේලියාව තුළ (ඕෂනියා) හා 1993 දකුණු ඇමරිකාවේ. කෙටි, හෝ, SFC (නිල එහි පූර්වගාමී පවුලේ පරිගණක පිළිබඳ සංක්ෂිප්ත නම සම්මත ?, Sūpā Famikon ජපන්: ス ー パ ー フ ァ ミ コ ン, Hepburn) ජපානයේ, පද්ධතිය විසින් සුපර් Famicom ලෙස හැඳින්වේ. දකුණු කොරියාවේ, එය සුපිරි Comboy (슈퍼 컴 보이 Syupeo Keomboi) ලෙස හැඳින්වෙන අතර Hyundai රථ ඉලෙක්ට්රොනික උපකරණ විසින් බෙදා හරින ලදී. එක් එක් අනුවාදය අත්යවශ්යයෙන්ම එකම වුවත්, ප්රාදේශීය වැළකුම ආකාර කිහිපයක් එකිනෙකා සමග අනුකූල වීම සිට විවිධ තොරතුරු වැළැක්වීම. එය, 1992 සැප්තැම්බර් මස 2 වන දින බ්රසීලයේ නිකුත් කරන ලදී Playtronic විසින්.","[ 'මේ SNES එක්සත් ජනපදයේ නිදහස් කරන ලද්දේ කවදාද?', 'කෝ SNES පළමු නිදහස්?', 'ජපානයේ SNES කුමක්ද හැඳින්වූ?', 'කුමක්ද දකුණු කොරියාවේ නම් SNES ද?', 'වූ විට ඕස්ට්රේලියාවේ නිදහස් SNES? ',' 1992 දී නිකුත් කරන ලදී බව දකුණු කොරියාව දියුණු වුණේ කොහොමද? ',' කුමක්ද Austrailasia කලාපීය වැඩ තහනම ආකාරයකි? ',' උතුරු ඇමරිකාවේ සුපිරි Comboy සඳහා තවත් නම කුමක් ද? ',' කුමක්ද මෙම Hepburn අර්ථ දැක්වීම 1990 දී බ්රසීලයේ නිදහස් ද? ',' 1990 දී බ්රසීලයේ සුපිරි Comboy සංවර්ධනය කුමක්ද සමාගම? ']","[[{ 'පෙළ' '1991', 'answer_start': 248}], [{ 'පෙළ' 'ජපානය සහ දකුණු කොරියාව', 'answer_start': 225}], [{ 'පෙළ': 'සුපර් Famicom' 'answer_start': 375}], [{ 'පෙළ': 'සුපර් Comboy', 'answer_start': 571}], [{ 'පෙළ' '1992', 'answer_start': 271}], [], [ ], [], [], []]"
"කෙසේ වෙතත්, සමහර උගතුන් යුගවල සිට-Euphratean භාෂාව හෝ එක් උපස්ථරයක් භාෂාව කිරීමේ අදහස ඉදිරිපත්. එය සුමේරියානු භාෂාව මුලින් දඩයක්කාරයෙක් මඩ වගුරු හා නැගෙනහිර අරාබියේ රැඳවීමට කලාපයේ ජීවත් වූ අරාබි bifacial සංස්කෘතියේ කොටසක් වූ ධීවර ජනයා, එම වූ බව, ඔවුන් සහ වෙනත් අය විසින් යෝජනා කර ඇත. විශ්වාසනීය ඓතිහාසික වාර්තා බොහෝ කලකට පසුව ආරම්භ; Enmebaragesi (ඇ. පූ 26 වන සියවස) පෙර දිනැති කර ඇති බව ඕනෑම ආකාරයක සුමර් තුළ කිසිවෙකු ඇත. එය අයිස් යුගයේ අවසානයේ දී ජලයෙන් යට පෙර සුමේරියන්වරුන්, නැගෙනහිර අරාබිය, අද, පර්සියානු ගල්ෆ් කලාපයේ වෙරළ තීරය දිගේ පදිංචි මහාචාර්ය ජූරිස් Zarins විශ්වාස කරයි.","[ 'දේ පමණක් එක් විය වී තිබෙන බව ඇතැම් විද්වතුන් තරගය?', 'කවුද ඇතැම් වියත්හු සුමේරියානු භාෂාව මුලින් අයත් හිතන්නේ?', 'මුල් සුමේරියන්වරුන් කොහේද ජීවත් වුණේ ඇයි?', 'සුමේරියානු කැඳවා කළ යුතු වන මහජන කුමක්ද සංස්කෘතිය ',' දී? කොටසක් ඇති සුමර් මුල්ම ඓතිහාසික වාර්තා? වූ විට? ',' සංචාරක ජනයා අතර ආරම්භ වී ඇති බවට විශ්වාස කෙරේ කුමක්ද භාෂාව? ',' අරාබියේ ගඟ කලාපයේ ජීවත් කුමක්ද ජනතාවගේ, ""රජ කවුද 2600 ගේ ක්රි.පූ? "",] 'සුමේරියන්වරුන් නවීන පර්සියාවේ ප්රදේශයේ ජීවත්? විශ්වාස කවුද'","[[{ 'පෙළ' 'උපස්ථරයක් භාෂාව', 'answer_start': 78}], [{ 'පෙළ' 'දඩයක්කාරයෙක් ධීවර ජනයා', 'answer_start': 194}], [{ 'පෙළ' 'මඩ වගුරු' 'answer_start': 238}], [{ 'පෙළ' 'අරාබි bifacial', 'answer_start': 309}], [{ 'පෙළ' '26 වන සියවස BC', 'answer_start': 462}], [] , [], [], []]"
"කලින් වසරේ දී එලිස් දූපත් ලෙස හඳුන්වන ටුවාලු (i / tuːvɑːluː / ද-VAH-loo හෝ / tuːvəluː / ද-රාළ සහ-loo), පැසිෆික් සාගරයේ, හවායි සහ ඕස්ට්රේලියාව අතර අයහපත් ආලෝක තත්ත්වය පිහිටි පොලිනීසියානු දිවයින ජාතියකි. එය ° ° පර දූපත් තුනක් සමන්විත, සැබෑ ජනරය හයක් 5 අක්ෂාංශ අතර පැතිර ° 176 10 ° දකුණු හා දේශාංශ සඳහා 180 දක්වා, ජාත්යන්තර දිනය ලයින් බටහිර. එහි ආසන්නතම අසල්වාසීන් කිරිබටි, නාඋරු, සැමෝවා සහ ෆීජි වේ. ටුවාලු 10,640 (2012 සංගණනය) ක ජනගහනයක් ඇත. ටුවාලු දූපත් මුළු භූමි ප්රමාණය වර්ග කිලෝ මීටර් 26 (10 වර්ග සැත) වේ.","[ 'කුමක්ද ටුවාලු යන පෙර නම ද?', 'වන සාගර දී ටුවාලු හමු වී ඇත?', 'කුමන භූමියක ප්රදේශ අතර ටුවාලු පිහිටා ඇත?', 'ද 2012 ජන සංගණනය මෙම ටුවාලු දූපත්වල ජීවත් වන ආකාරය බොහෝ පුද්ගලයන් අනුව?' , 'මොකක්ද මුලින් පිහිටුවන ලද ටුවාලු දූපත්වල?']","[[{ 'පෙළ' 'එලිස් දූපත්', 'answer_start': 84}], [{ 'පෙළ' 'පැසිෆික් සාගරය', 'answer_start': 145}], [{ 'පෙළ' 'හවායි හා ඕස්ට්රේලියාව' 'answer_start': 175}], [{ 'පෙළ': '10, 640 ',' answer_start ': 455}], [{' පෙළ '' පර ',' answer_start ': 216}]]"
"මෙම නිර්මල පිළිසිදගැනීම ඇති අර්ථ ධර්ම පාඨයක් පමණක් මුල් පාපය සම්බන්ධයෙන් මරියා ඕනෑම පැල්ලමක් (ලතින්, macula හෝ labes දී, විධිමත් අර්ථ දැක්වීම සඳහා භාවිතා වන එකක් මෙම නිරන්තර නව්යකරණය වචන දෙකක් දෙවන) සිට, කල් තබා ගන්නා බවද ඒ මහතා කියා සිටියේය. රෝමානු කතෝලික ධර්ම පාඨයක් රාජ්යයන් "", සියලු බලැති දෙවියන් වහන්සේ විසින් ලබා දී ඇති අසහාය කරුණාව හා වරප්රසාද විසින්, කරන ප්රකාශ යේසුස් ක්රිස්තුස්, මානව වර්ගයාගේ ගැලවුම්කරුවා වන හොඳක් දැක්ම ඇගේ සංකල්පය පළමු අවස්ථාවේ දී, බොහෝ කන්ය මරිය බව මුල් පාපය සියලු පැල්ලම් නිදහස්, කල් තබා ගන්නා. "" ඒ නිසා, මුල් පාපය සිට සෑම විටම නිදහස් වීම, ඒ ඉගැන්වීම ඇගේ සංකල්පය මරියා සාමාන්යයෙන් උපතින් පසුව බව්තීස්ම එන බව ශුද්ධව කරුණාව ලැබී බවයි.","[ 'මරියා මෙය සිදුවීම වලක්වා ඇති විශ්වාස කරන ලදී කවුද?', 'මොනවාද?' වැළැක්වීමට නොහොත් නිරූපණය වන මෙම නිර්මල පිළිසිදගැනීම වේ '' මරියා විඳදරාගැනීමට සහිත වලක්වනු කළේ කුමක්ද? '', '' කුමක් වැළැක්වීම ප්රතිඵලය විය එවැනි අසාධාරණයක් විඳදරාගැනීමට සහිත මරියා? ',' සාමාන්යයෙන් මරියා ඇති කාල සීමාව තුළ කාන්තාවක් මගින් ළමා ප්රසූතියට අනුගමනය කුමක්ද? ',' ද සුදෝ පිළිසිඳ ඉගැන්වීම විග්රහ විසින් සලකනු දේවල් එක් යනු කුමක් ද? ',' කුමක්ද සහිත සිට කතෝලික පල්ලිය ප්රවණතාව වළක්වා මරියා නේද? ',' මරියා බව්තීස්ම මොනවද කළේ කෙසේද? ']","[[{ 'පෙළ' 'මුල් පාපය පමණක්', 'answer_start': 55}], [{ 'පෙළ': 'answer_start' 'මරියා ඕනෑම පැල්ලමක් සිට (ලතින්, macula හෝ labes තුළ ආරක්ෂා විය': 86}] , [{ 'පෙළ' 'සියලු බලැති දෙවියන් වහන්සේ විසින් ලබා දී ඇති වරප්රසාදය, යේසුස් ක්රිස්තුස් වහන්සේ, මිනිස් වර්ගයාගේ ගැලවුම්කරුවා හුරුවට නිමිත්තෙන්, සියලු පැල්ලම් නිදහස්, කල් තබා ගන්නා ලදී', 'answer_start': 379}], [{ 'පෙළ '' ක්රිස්තුස් වහන්සේ, මිනිස් වර්ගයාගේ ගැලවුම්කරුවා, මුල් පාපය සියලු පැල්ලම් නිදහස්, කල් තබා ගන්නා ලදී "" ',' answer_start. ': 439}], [{' පෙළ '' සාමාන්යයෙන් පසු බව්තීස්ම එන බව කරුණාවෙන් ශුද්ධ උපත ',' answer_start ':. 648}], [], [], []]"
"නැමීබියාව ප්රාථමික සහ ද්විතීයික අධ්යාපනය මට්ටම් දෙකම සඳහා නිදහස් අධ්යාපනය. ශ්රේණි 1-7 ප්රාථමික මට්ටම, ශ්රේණි 8-12 ද්විතියික වේ. 1998 දී, හා ප්රාථමික පාසල් නැමීබියානු සිසුන් 400.325 ද්විතීයික පාසල් සිසුන් 115.237 කි. දළ ජාතික නිෂ්පාදිතයෙන් 8% ක පමණ අධ්යාපනය සඳහා වැය කරමින් සමග: 1, 1999 දී සිසුවකු-ගුරු අනුපාතය 32 ක් ලෙස තක්සේරු කරන ලදී. විෂයමාලා සංවර්ධනය, අධ්යාපන පර්යේෂණ, හා ගුරු වෘත්තීය සංවර්ධනය මධ්යගතව Okahandja දී අධ්යාපන සංවර්ධනය සඳහා වන ජාතික ආයතනය (NIED) විසින් සංවිධානය කර ඇත.","[ 'කුමක්ද නැමීබියාවේ ප්රාථමික හා ද්විතීයික අධ්යාපනය සඳහා යන පිරිවැය ද?', 'සත්ව සිසුන් කොපමණ 1998 දී ප්රාථමික පාසල් වාර්තා වී? ',' සත්ව සිසුන් ද්විතීයික පාසල් 1998 දී වාර්තා විය කීයක්? ',' කුමක්ද 1999 දී නැමීබියාව තුළ සිසුවකු-ගුරු අනුපාතය ද? ',' කුමක්ද නැම්බියාව විෂය මාලාව මෙන්ම වෙනත් අධ්යාපනික සම්පත් වර්ධනය? ',' කුමක්ද ' ""කොපමණ නැම්බියාව දළ ජාතික නිෂ්පාදිතයෙන් ආරක්ෂක වැය වන්නේ?"",' නැම්බියාව අගනුවර ද? ',' ගුරු කීයක් ප්රාථමික හා ද්විතීයික පාසල් නැමීබියාවේ තිබේද? 2000 දී සිසුවකු-ගුරු අනුපාතය කුමක්ද? '', 'Okahandja ජනගහනය යනු කුමක්ද?']","[[{ 'පෙළ' 'නිදහස්', 'answer_start': 12}], [{ 'පෙළ' '400.325', 'answer_start': 149}], [{ 'පෙළ' '115.237', 'answer_start' : 197}], [{ 'පෙළ': '32: 1 ',' answer_start ': 285}], [{' පෙළ '' අධ්යාපන සංවර්ධනය සඳහා ජාතික ආයතනය ',' answer_start ': 459}], [], [], [], [], []]"
